dataset,variant,p,graph_seed,init_seed,auc
Chameleon,PI,0.0,0,0,0.9731199765319943
Chameleon,PI,0.0,0,1,0.9726661753188054
Chameleon,PI,0.0,0,2,0.9742287506568973
Chameleon,PI,0.0,0,3,0.9724220039294323
Chameleon,PI,0.0,0,4,0.9730858401460915
Chameleon,PI,0.0,0,5,0.9659181614081775
Chameleon,PI,0.0,0,6,0.9696473843019625
Chameleon,PI,0.0,0,7,0.9766202222734548
Chameleon,PI,0.0,0,8,0.9712023625215302
Chameleon,PI,0.0,0,9,0.9675449070740721
Chameleon,no-PI,0.0,0,0,0.9846192283677621
Chameleon,no-PI,0.0,0,1,0.985843681284063
Chameleon,no-PI,0.0,0,2,0.9824752708727287
Chameleon,no-PI,0.0,0,3,0.9831555675128574
Chameleon,no-PI,0.0,0,4,0.9910891877403982
Chameleon,no-PI,0.0,0,5,0.9819323301355205
Chameleon,no-PI,0.0,0,6,0.9767388386173487
Chameleon,no-PI,0.0,0,7,0.9868726856644602
Chameleon,no-PI,0.0,0,8,0.9858013906576106
Chameleon,no-PI,0.0,0,9,0.9854097845214078
Chameleon,GDC-PI,0.0,0,0,0.9806590530708363
Chameleon,GDC-PI,0.0,0,1,0.9822624502591327
Chameleon,GDC-PI,0.0,0,2,0.9799469498278188
Chameleon,GDC-PI,0.0,0,3,0.9804393444031115
Chameleon,GDC-PI,0.0,0,4,0.9804679095687632
Chameleon,GDC-PI,0.0,0,5,0.9813730809172132
Chameleon,GDC-PI,0.0,0,6,0.9798571012394041
Chameleon,GDC-PI,0.0,0,7,0.9835999989465327
Chameleon,GDC-PI,0.0,0,8,0.981299034335329
Chameleon,GDC-PI,0.0,0,9,0.9878825959536328
Chameleon,PI,0.0,1,1000,0.9759079164406101
Chameleon,PI,0.0,1,1001,0.9694676871251328
Chameleon,PI,0.0,1,1002,0.9689155791982386
Chameleon,PI,0.0,1,1003,0.9707269854917322
Chameleon,PI,0.0,1,1004,0.9699679827036909
Chameleon,PI,0.0,1,1005,0.969444794474646
Chameleon,PI,0.0,1,1006,0.969688763274192
Chameleon,PI,0.0,1,1007,0.9558526884277855
Chameleon,PI,0.0,1,1008,0.9696070689263265
Chameleon,PI,0.0,1,1009,0.9780929490231322
Chameleon,no-PI,0.0,1,1000,0.9875270508066925
Chameleon,no-PI,0.0,1,1001,0.9839781835066759
Chameleon,no-PI,0.0,1,1002,0.9854004653893512
Chameleon,no-PI,0.0,1,1003,0.9854007692740924
Chameleon,no-PI,0.0,1,1004,0.9795055065940963
Chameleon,no-PI,0.0,1,1005,0.9858062528134662
Chameleon,no-PI,0.0,1,1006,0.9806404654541799
Chameleon,no-PI,0.0,1,1007,0.9849678348131169
Chameleon,no-PI,0.0,1,1008,0.9889256296795719
Chameleon,no-PI,0.0,1,1009,0.9904921048718396
Chameleon,GDC-PI,0.0,1,1000,0.9807301621002245
Chameleon,GDC-PI,0.0,1,1001,0.982328190658097
Chameleon,GDC-PI,0.0,1,1002,0.9884707142223326
Chameleon,GDC-PI,0.0,1,1003,0.9819423583319725
Chameleon,GDC-PI,0.0,1,1004,0.9792534848489145
Chameleon,GDC-PI,0.0,1,1005,0.9840833276270532
Chameleon,GDC-PI,0.0,1,1006,0.9817670168364301
Chameleon,GDC-PI,0.0,1,1007,0.9810053803806339
Chameleon,GDC-PI,0.0,1,1008,0.9876966184921563
Chameleon,GDC-PI,0.0,1,1009,0.9819781154364939
Chameleon,PI,0.0,2,2000,0.9656006525013158
Chameleon,PI,0.0,2,2001,0.9739650799966451
Chameleon,PI,0.0,2,2002,0.9729302511587126
Chameleon,PI,0.0,2,2003,0.9695172203379117
Chameleon,PI,0.0,2,2004,0.9755627033748628
Chameleon,PI,0.0,2,2005,0.9725425448766857
Chameleon,PI,0.0,2,2006,0.9724615595932159
Chameleon,PI,0.0,2,2007,0.9762073442053839
Chameleon,PI,0.0,2,2008,0.9769017208385112
Chameleon,PI,0.0,2,2009,0.9652292040529311
Chameleon,no-PI,0.0,2,2000,0.9825773761456962
Chameleon,no-PI,0.0,2,2001,0.9822030914397287
Chameleon,no-PI,0.0,2,2002,0.9846256605947796
Chameleon,no-PI,0.0,2,2003,0.9910439595614497
Chameleon,no-PI,0.0,2,2004,0.9857189872453496
Chameleon,no-PI,0.0,2,2005,0.9834367115457159
Chameleon,no-PI,0.0,2,2006,0.9819479295522238
Chameleon,no-PI,0.0,2,2007,0.9834040439360611
Chameleon,no-PI,0.0,2,2008,0.9877437712744644
Chameleon,no-PI,0.0,2,2009,0.9846011978731309
Chameleon,GDC-PI,0.0,2,2000,0.9811509411715608
Chameleon,GDC-PI,0.0,2,2001,0.9822645268048626
Chameleon,GDC-PI,0.0,2,2002,0.9799234494078501
Chameleon,GDC-PI,0.0,2,2003,0.9845464479722986
Chameleon,GDC-PI,0.0,2,2004,0.9817958858868227
Chameleon,GDC-PI,0.0,2,2005,0.9836433025221217
Chameleon,GDC-PI,0.0,2,2006,0.9796938138385869
Chameleon,GDC-PI,0.0,2,2007,0.9829719198343949
Chameleon,GDC-PI,0.0,2,2008,0.9819156164747668
Chameleon,GDC-PI,0.0,2,2009,0.9804052080172088
Chameleon,PI,5.0,0,0,0.976608066883816
Chameleon,PI,5.0,0,1,0.9789972087173593
Chameleon,PI,5.0,0,2,0.9812853595219853
Chameleon,PI,5.0,0,3,0.9780792742097881
Chameleon,PI,5.0,0,4,0.9761682950161689
Chameleon,PI,5.0,0,5,0.9721124973207496
Chameleon,PI,5.0,0,6,0.9756013980318805
Chameleon,PI,5.0,0,7,0.9783020723723795
Chameleon,PI,5.0,0,8,0.9827288120416152
Chameleon,PI,5.0,0,9,0.97706865485622
Chameleon,no-PI,5.0,0,0,0.9909654053559078
Chameleon,no-PI,5.0,0,1,0.9801676207972235
Chameleon,no-PI,5.0,0,2,0.9844405947875257
Chameleon,no-PI,5.0,0,3,0.9831762316752436
Chameleon,no-PI,5.0,0,4,0.979879082235668
Chameleon,no-PI,5.0,0,5,0.9814779211528495
Chameleon,no-PI,5.0,0,6,0.9791602428808922
Chameleon,no-PI,5.0,0,7,0.9804301265659687
Chameleon,no-PI,5.0,0,8,0.9842912354373367
Chameleon,no-PI,5.0,0,9,0.9849052345564763
Chameleon,GDC-PI,5.0,0,0,0.9815006112135092
Chameleon,GDC-PI,5.0,0,1,0.9817335895149231
Chameleon,GDC-PI,5.0,0,2,0.9799787564307078
Chameleon,GDC-PI,5.0,0,3,0.9809913003876354
Chameleon,GDC-PI,5.0,0,4,0.9792333271610966
Chameleon,GDC-PI,5.0,0,5,0.9806190415799413
Chameleon,GDC-PI,5.0,0,6,0.9812770533390652
Chameleon,GDC-PI,5.0,0,7,0.9809937314655632
Chameleon,GDC-PI,5.0,0,8,0.9817774502125369
Chameleon,GDC-PI,5.0,0,9,0.9870333900449791
Chameleon,PI,5.0,1,1000,0.9798850586355736
Chameleon,PI,5.0,1,1001,0.9795309316174244
